transaction_id,customer_name,product_name,category,price,quantity,payment_method,transaction_date,shipping_city,rating
TRX00305,Ophelia Hartati,Quo Basic,Buku,50000.0,4,Kartu Kredit,2026-07-17,Blitar,1.0
TRX00500,Cut Maya Wijayanti,Delectus,Elektronik,500000.0,1,E-Wallet,2026-07-13,Lubuklinggau,
TRX00442,"Dr. Ridwan Utama, M.Pd",Animi Max,Elektronik,25000.0,1,COD,2026-08-29,Probolinggo,2.0
TRX00154,"Viman Suwarno, S.H.",Consectetur,Fashion,250000.0,1,COD,2026-07-31,Tual,4.0
TRX00132,Ir. Ilyas Setiawan,Ducimus Pro,Rumah Tangga,250000.0,4,COD,2026-09-19,Subulussalam,2.0
TRX00205,Agnes Najmudin,Dicta Pro,Rumah Tangga,120000.0,1,E-Wallet,2026-08-11,Batam,2.0
TRX00010,"dr. Elisa Uwais, S.I.Kom",Eos Max,Fashion,1200000.0,4,COD,2026-08-21,Tidak Diketahui,5.0
TRX00326,Julia Halimah,Consequuntur Pro,Kesehatan,150000.0,4,E-Wallet,2026-08-22,Ambon,4.0
TRX00248,R.M. Radika Fujiati,Consectetur Lite,Fashion,1200000.0,2,Transfer Bank,2026-09-15,Palopo,
TRX00466,"Cakrabirawa Hidayat, M.TI.",Recusandae Pro,Fashion,50000.0,2,E-Wallet,2026-06-22,Palembang,2.0
TRX00354,Jelita Mangunsong,Harum Basic,Kesehatan,500000.0,1,E-Wallet,2026-07-08,Bandung,
TRX00290,R. Ella Wahyuni,Soluta Lite,Kesehatan,15000.0,3,COD,2026-08-25,Salatiga,
TRX00085,Danang Andriani,Molestias Lite,Elektronik,150000.0,2,COD,2026-09-11,Tidak Diketahui,3.0
TRX00011,"Cawisono Nasyidah, S.H.",Dolorem Max,Buku,500000.0,5,E-Wallet,2026-08-02,Subulussalam,4.0
TRX00325,Mulyono Nuraini,Et,Fashion,50000.0,1,E-Wallet,2026-08-18,Bengkulu,
TRX00079,Dr. Legawa Simanjuntak,Numquam Max,Rumah Tangga,25000.0,1,Transfer Bank,2026-08-16,Purwokerto,2.0
TRX00031,Gabriella Namaga,Delectus Max,Fashion,120000.0,4,COD,2026-08-26,Kota Administrasi Jakarta Barat,1.0
TRX00185,Rahmat Pradipta,Iure Lite,Kesehatan,75000.0,1,E-Wallet,2026-08-30,Kota Administrasi Jakarta Utara,5.0
TRX00196,Ghaliyati Zulkarnain,Labore Pro,Kesehatan,500000.0,5,E-Wallet,2026-09-04,Padangpanjang,
TRX00223,"Ir. Bahuraksa Nugroho, M.Kom.",Officiis Lite,Rumah Tangga,1200000.0,1,E-Wallet,2026-08-28,Tangerang Selatan,2.0
TRX00210,Gasti Mulyani,Cum Max,Buku,750000.0,4,COD,2026-07-23,Kotamobagu,
TRX00282,"R.M. Dasa Lailasari, S.Ked",Magni,Rumah Tangga,500000.0,1,COD,2026-08-10,Pangkalpinang,1.0
TRX00209,Empluk Handayani,Ut Max,Buku,120000.0,5,E-Wallet,2026-07-30,Padangpanjang,3.0
TRX00251,"Gandewa Maulana, S.E.I",Amet,Kesehatan,15000.0,5,Transfer Bank,2026-07-17,Tanjungpinang,2.0
TRX00077,"Puti Victoria Anggraini, S.H.",Dolorum,Fashion,120000.0,1,COD,2026-09-02,Banjarbaru,
TRX00383,T. Rahman Thamrin,Fugiat Max,Kesehatan,120000.0,2,E-Wallet,2026-09-01,Medan,
TRX00343,Paris Tarihoran,Autem Pro,Fashion,500000.0,3,E-Wallet,2026-09-12,Banjarmasin,
TRX00324,"Humaira Mandala, S.IP",Sint Max,Buku,750000.0,4,Kartu Kredit,2026-08-27,Kota Administrasi Jakarta Barat,
TRX00245,Dr. Hari Marpaung,Eligendi Basic,Kesehatan,750000.0,3,Transfer Bank,2026-09-02,Kota Administrasi Jakarta Pusat,2.0
TRX00332,"Drs. Nadia Saputra, S.Kom",Culpa,Elektronik,75000.0,3,E-Wallet,2026-07-21,Sukabumi,1.0
